title_id,name,promotion,active,names,rating,votes
891,NWA Mountain State Television Championship,389,False,"NWA Mountain State Television Championship,",,
4799,WWE NXT Heritage Cup Championship,1,True,"WWE NXT Heritage Cup Championship,WWE NXT UK Heritage Cup Championship,",7.36,28.0
2021,WWE NXT Women's Championship,1,True,"WWE NXT Women's Championship,WWE NXT  Championship,WWE NXT Women's Championship,",9.09,234.0
16,WWE Intercontinental Championship,1,True,"WWE Intercontinental Championship,Intercontinental Championship,WWE Intercontinental Championship,WWF Intercontinental Championship,",8.18,451.0
392,IWGP U-30 Openweight Championship,7,False,"IWGP U-30 Openweight Championship,U-30 Openweight Championship,",,
229,AWA World Tag Team Championship,41,False,"AWA World Tag Team Championship,",,
142,GHC Junior Heavyweight Championship,8,True,"GHC Junior Heavyweight Championship,",8.34,41.0
2002,PWF World Tag Team Championship,6,False,"PWF World Tag Team Championship,",,
890,MSW Heavyweight    Championship,389,False,"MSW Heavyweight    Championship,NWA Mountain State Wrestling Heavyweight Championship,MSW Heavyweight    Championship,",,
3672,WWF North American Heavyweight Championship,1,False,"WWF North American Heavyweight Championship,WWF North American Championship,WWWF North American Championship,",7.0,1.0
3323,Tried-N-True Championship,1572,True,"Tried-N-True Championship,",,
1417,WCW World Women's Cruiserweight Championship,2,False,"WCW World Women's Cruiserweight Championship,",1.0,1.0
2074,UWF Heavyweight   Championship,661,False,"UWF Heavyweight   Championship,WWF International Championship,",,
390,OPW Tag Team Championship,81,True,"OPW Tag Team Championship,",,
2947,WrestlePro Gold Championship,1654,True,"WrestlePro Gold Championship,WrestlePro Championship,",,
2003,King Of FREEDOM World Championship,602,True,"King Of FREEDOM World Championship,",9.5,2.0
3052,NWF North American Heavyweight Championship,739,False,"NWF North American Heavyweight Championship,NWA Upstate North American Heavyweight Championship,",,
3580,ICW Alternative Championship,390,True,"ICW Alternative Championship,",,
96,CMLL World Tag Team Championship,78,True,"CMLL World Tag Team Championship,",,
773,AAA Mega Championship,122,True,"AAA Mega Championship,",8.25,16.0
1605,CMLL-JAST International Junior Heavyweight Championship,1780,False,"CMLL-JAST International Junior Heavyweight Championship,CMLL-REINA International Junior Heavyweight Championship,",,
1819,REINA-CMLL International Championship,752,False,"REINA-CMLL International Championship,",,
130,Osaka Pro Championship,81,True,"Osaka Pro Championship,Osaka Openweight Championship,OPW Championship,",,
472,NWA Western States Heritage Championship,9,False,"NWA Western States Heritage Championship,",1.0,3.0
2671,GFW Global Championship,1303,False,"GFW Global Championship,",3.5,2.0
17,World Heavyweight Championship,1,False,"World Heavyweight Championship,",8.93,357.0
235,FIP World Heavyweight Championship,47,True,"FIP World Heavyweight Championship,FIP Heavyweight Championship,",7.47,19.0
1976,RevPro Undisputed British Heavyweight Championship,962,True,"RevPro Undisputed British Heavyweight Championship,RevPro British Heavyweight Championship,",8.71,35.0
2451,Southside Women's Championship,962,False,"Southside Women's Championship,Queen Of Southside Championship,",,
5651,CMLL Rey Del Inframundo Championship,78,True,"CMLL Rey Del Inframundo Championship,",,
4370,AEW Women's World Championship,2287,True,"AEW Women's World Championship,",6.36,146.0
84,ZERO1 United National Heavyweight Championship,13,True,"ZERO1 United National Heavyweight Championship,ZERO1-MAX United National Heavyweight Championship,NWA United National Heavyweight Championship,",,
3692,HOH Twitch Television Championship,949,False,"HOH Twitch Television Championship,",,
1984,WildKat Revolution Championship,846,True,"WildKat Revolution Championship,",8.0,1.0
744,BJW Heavyweight Championship,117,False,"BJW Heavyweight Championship,",,
1770,WAVE Tag Team Championship,326,True,"WAVE Tag Team Championship,",,
1499,NWA Mountain Empire Championship,726,False,"NWA Mountain Empire Championship,",,
621,ROW Heavyweight Championship,304,True,"ROW Heavyweight Championship,PWA Heavyweight Championship,",,
1154,AAA Americas Trios Championship,122,False,"AAA Americas Trios Championship,",,
4099,IWGP World Heavyweight Championship,7,True,"IWGP World Heavyweight Championship,",7.69,84.0
14,WWE Hardcore Championship,1,False,"WWE Hardcore Championship,WWF Hardcore Championship,",4.59,167.0
3741,Guardians Of RISE Championship,1876,True,"Guardians Of RISE Championship,",,
613,IWGP Third Belt Championship,263,False,"IWGP Third Belt Championship,",1.88,33.0
5645,DEFY Women's Championship,1915,True,"DEFY Women's Championship,",,
5177,Spirit Of Ganbare World Openweight Championship,118,True,"Spirit Of Ganbare World Openweight Championship,",,
4000,WWE NXT UK Tag Team Championship,1,False,"WWE NXT UK Tag Team Championship,",7.98,43.0
4380,DDT Iron Man Heavy Metal Championship,118,True,"DDT Iron Man Heavy Metal Championship,",9.25,52.0
1903,KO-D Six Man Tag Team Championship,118,True,"KO-D Six Man Tag Team Championship,",7.44,9.0
5967,SGP Global Junior Heavyweight Championship,3237,True,"SGP Global Junior Heavyweight Championship,",,
1740,SWE Speed King Championship,962,False,"SWE Speed King Championship,",,
2910,NWA United States Tag Team     Championship,726,False,"NWA United States Tag Team     Championship,",,
531,Mexican National Atomicos Championship,122,False,"Mexican National Atomicos Championship,",,
1559,NWA World Historic Welterweight Championship,78,True,"NWA World Historic Welterweight Championship,",10.0,1.0
23,AJPW World Junior Heavyweight Championship,6,True,"AJPW World Junior Heavyweight Championship,",7.0,16.0
1531,IWGP Intercontinental Championship,7,False,"IWGP Intercontinental Championship,",9.32,192.0
3397,NWA Los Angeles Beat The Champ Championship,682,False,"NWA Los Angeles Beat The Champ Championship,NWA Los Angeles Wrestling Jackpot Championship,NWA Los Angeles Beat The Champ Championship,",,
410,UWA World Trios Championship,1127,True,"UWA World Trios Championship,",,
2201,NWA FUW Flash Championship,768,True,"NWA FUW Flash Championship,FUW Flash Championship,",,
3823,BLP Heavyweight Championship,2009,True,"BLP Heavyweight Championship,",,
133,NWA United States Heavyweight Championship,9,False,"NWA United States Heavyweight Championship,",9.33,3.0
4420,Midwest Territory Championship,1924,False,"Midwest Territory Championship,",,
523,Mexican National Mini's Championship,122,False,"Mexican National Mini's Championship,",,
158,NWA World Television   Championship,15,False,"NWA World Television   Championship,NWA Wildside Television Championship,NCW Television   Championship,",,
4394,GHC National Championship,8,True,"GHC National Championship,",9.0,21.0
1294,Super X GPCW Monster Championship,646,False,"Super X GPCW Monster Championship,",,
2974,Kaiju Double Danger Tandem Championship,1024,True,"Kaiju Double Danger Tandem Championship,",,
5764,GP MAX Openweight Championship,2793,True,"GP MAX Openweight Championship,",,
139,NWA World Welterweight Championship,1632,False,"NWA World Welterweight Championship,J-Crown Championship,NWA World Welterweight Championship,",,
432,NWA International Junior Heavyweight Championship,9,False,"NWA International Junior Heavyweight Championship,NWA World International Junior Heavyweight Championship,",10.0,2.0
1301,DAWG Heavyweight Championship,650,True,"DAWG Heavyweight Championship,NWA DAWG Heavyweight Championship,NWA DAWG Pound Heavyweight Championship,",,
134,NWA World Junior Heavyweight Championship,9,True,"NWA World Junior Heavyweight Championship,J-Crown Championship,NWA World Junior Heavyweight Championship,",7.89,9.0
1671,Goddesses Of Stardom Championship,745,True,"Goddesses Of Stardom Championship,",8.67,18.0
1481,Xplosion World Championship,732,True,"Xplosion World Championship,XNL World Championship,XNL Championship,",,
3,ECW World Tag Team Championship,3,False,"ECW World Tag Team Championship,ECW Tag Team Championship,",7.07,30.0
3680,ROH Women Of Honor World Championship,4,False,"ROH Women Of Honor World Championship,ROH Women Of Honor Championship,",3.73,15.0
742,WCW World Six Man Tag Team Championship,2,False,"WCW World Six Man Tag Team Championship,",1.43,23.0
2711,Yokohama Shopping Street Six Man Tag Team Championship,117,True,"Yokohama Shopping Street Six Man Tag Team Championship,",5.0,2.0
101,CZW Tag Team Championship,14,True,"CZW Tag Team Championship,",6.64,14.0
1082,AAA Mascota Tag Team Championship,122,True,"AAA Mascota Tag Team Championship,",,
90,BCW Can-Am Tag Team Championship,1659,True,"BCW Can-Am Tag Team Championship,MXPW Tag Team  Championship,BCW Can-Am Tag Team Championship,",,
60,World Tag Team Championship,1,False,"World Tag Team Championship,WWE World Tag Team Championship,WWF World Tag Team Championship,WWF Tag Team Championship,WWWF Tag Team Championship,",7.27,154.0
3560,wXw Women's Championship,35,True,"wXw Women's Championship,",5.14,7.0
5282,CCW Canadian Heavyweight Championship,557,True,"CCW Canadian Heavyweight Championship,",,
3125,PROGRESS Atlas Championship,903,True,"PROGRESS Atlas Championship,",8.89,18.0
6019,NJPW STRONG Women's Championship,7,True,"NJPW STRONG Women's Championship,",,
3119,WWE NXT Cruiserweight Championship,1,False,"WWE NXT Cruiserweight Championship,WWE Cruiserweight  Championship,",7.04,113.0
3117,WWE SmackDown Tag Team Championship,1,True,"WWE SmackDown Tag Team Championship,",5.87,109.0
428,MCW Tag Team Championship,152,True,"MCW Tag Team Championship,",,
2416,ROW Television Championship,304,True,"ROW Television Championship,ROW Internet Championship,",,
