id,username,handle,date,text,replies,retweets,likes,bookmarks,views
1688040099022336000,WWE,@WWE,2023-08-06T04:11:36.000Z,"NO WAY!!!! 

#TribalCombat #SummerSlam",2982,4998,24104,555,28058586
1689818921656844288,WWE NXT,@WWENXT,2023-08-11T02:00:00.000Z,"The last time 
@DijakWWE
 and 
@WesLee_WWE
 faced off, they gave us a classic at #VengeanceDay. 

Who will become the No. 1 Contender for the NXT Championship when they do battle again TUESDAY on #WWENXT?",14,86,460,3,58672
1689819229573267456,WWE,@WWE,2023-08-11T02:01:14.000Z,"Feel the fallout from #SummerSlam tomorrow night on #SmackDown!

PLUS: 
@EscobarWWE
 challenges #USChampion 
@_Theory1",24,103,447,3,55235
1689774123877044224,Pittsburgh Pirates,@Pirates,2023-08-10T23:02:00.000Z,"Wrestlemania  
@WWE
 Smackdown  
Bucco Game  

You’re a natural, 
@WWEGraves
 ",14,91,748,5,80043
1689788720570941440,WWE NXT,@WWENXT,2023-08-11T00:00:00.000Z,"With WWE Hall of Famer 
@reymysterio
 in his corner, 
@dragonlee95
 battles 
@DomMysterio35
 for the NXT North American Championship. 
@RheaRipley_WWE
 #WWENXT",8,64,364,4,50623
1689788720352821250,WWE,@WWE,2023-08-11T00:00:00.000Z,"What does the future hold for these two? 
@MontezFordWWE
 @AngeloDawkins",222,241,2807,24,207277
1689758521196158976,WWE NXT,@WWENXT,2023-08-10T22:00:00.000Z,"You're a menace, 
@_trickwilliams
  

#WWENXT",14,106,589,12,72195
1689758857180991489,WWE,@WWE,2023-08-10T22:01:20.000Z,Who has the best Powerbomb today?,293,213,2059,29,292751
1689731015118352384,Rebecca Quin,@BeckyLynchWWE,2023-08-10T20:10:42.000Z,"Four GOATS in one box. How can ya beat it? 

Check out the new 
@Mattel
 WWE Elite Collection action figure in the WWE Then. Now. Forever. Together. 4-pack, available for preorder at http://Target.com",121,587,3911,71,179772
1689706868355334144,CHELSEA GREEN,@ImChelseaGreen,2023-08-10T18:34:45.000Z," Chelsea’s Got Talent auditions 
THE WWE Woman’s Tag Team Champion invites YOU to audition. Please submit your full name, entry video & include any hidden talents I may be able to use to my advantage, as your tag team partner.

POSTING THIS BEFORE 
@wwe
 MANAGEMENT & ADAM… Show more",214,560,3887,114,348228
1689736847637843968,WWE,@WWE,2023-08-10T20:33:52.000Z,Go behind the scenes of #SummerSlam 2023!,19,211,1153,42,106028
1689729386830761984,WWE,@WWE,2023-08-10T20:04:14.000Z,"Let's face it ... 
@RealLAKnight
 has ALWAYS been the coolest.

YEAH!

 #WWENXT 12/7/21",143,849,8160,303,920274
1689728322157096960,WWE NXT,@WWENXT,2023-08-10T20:00:00.000Z,".
@reymysterio
 imparts some wisdom on NXT Superstars 
@roxanne_wwe
 and 
@theahail_wwe
. 

#WWENXT",20,130,677,16,63080
1689716631717523457,RheaRipley_WWE,@RheaRipley_WWE,2023-08-10T19:13:33.000Z,Time flys when you’re having fun ,83,387,5179,86,389747
1689705979959549954,WWE,@WWE,2023-08-10T18:31:13.000Z,Feels like forever ago! ,77,435,5024,154,759374
1689698123545747456,WWE NXT,@WWENXT,2023-08-10T18:00:00.000Z,"   

@Real_Valkyria
 had 
@RheaRipley_WWE
 all sorts of flustered...
@DomMysterio35
 #WWENXT",39,184,1565,44,101454
1689697836391333888,Calgary Flames,@NHLFlames,2023-08-10T17:58:51.000Z,"Hitman approved 

Our exclusive #Flames x 
@WWE
 tee is only available at the 
@cgysaddledome
 on Friday during #SmackDown!

: https://cflam.es/3rZdC5j",23,103,780,3,103558
