wrestler_id,name,birthplace,gender,age,height,weight,career_start,career_end,promotion,rating,votes
26300,Minorita,"Koshu, Yamanashi, Japan",male,25.0,156.0,67.0,2021-10-24,,96,7.89,9.0
194,Rockin' Rebel,"West Chester, Pennsylvania, USA",male,,183.0,111.0,1988-12-01,2018-06-01,,1.35,43.0
14107,Eli Everfly,"Los Angeles, California, USA",male,29.0,,,2013-01-01,,,8.47,15.0
724,Joey Abs,"Carthage, North Carolina, USA",male,,193.0,124.0,1994-01-01,2001-01-01,,3.38,42.0
13636,Scarlett,"Chicago, Illinois, USA",female,32.0,170.0,57.0,2011-01-01,,1,5.89,65.0
23899,Abby Jane,"Clementon, New Jersey, USA",female,22.0,157.0,56.0,2020-12-24,,,,
18189,Kannazuki,"Toki, Gifu, Japan",male,57.0,172.0,68.0,2006-03-21,,,,
3491,Mike Paidousis,"Steubenville, Ohio, USA",male,,180.0,110.0,1950-01-01,1981-01-01,,4.0,2.0
6928,Knuckles Zandwich,"Baltimore, Maryland, USA",male,,,,1996-01-01,2002-01-01,,3.0,1.0
891,Jeff Hardy,"Cameron, North Carolina, USA",male,45.0,185.0,99.0,1993-10-15,,2287,7.74,1329.0
2893,George South Jr.,"Gastonia, North Carolina, USA",male,,183.0,104.0,1999-01-01,,,,
11162,America,"Guanajuato, Mexiko",male,,168.0,90.0,1993-01-01,,,,
23032,Killa Kate,"New Orleans, Louisiana, USA",female,29.0,,,2017-06-01,,,,
22410,Suzette Ferreira,"Kailua, Hawaii, USA",female,,163.0,61.0,1978-01-01,,,,
9789,Rudy Reyna,"San Luis Potosi, Mexiko",male,,170.0,75.0,1965-01-01,2011-09-04,,,
10228,Brent,"Knoxville, Tennessee, USA",male,31.0,173.0,73.0,2009-03-17,,4,6.6,15.0
14307,Sasha Darevko,"California, USA",male,,185.0,98.0,,2016-01-01,,,
21775,Noriko Toyoda,"Kanagawa, Japan",female,,163.0,68.0,1997-11-21,,,,
10461,Amo de la Noche,"Tulancingo, Hidalgo, Mexiko",male,46.0,,,,,,,
815,Taiyo Kea,"Honolulu, Hawaii, USA",male,47.0,185.0,106.0,1994-11-26,,1846,7.14,58.0
9209,Gary Goodridge,Trinidad and Tobago,male,,186.0,111.0,2000-12-31,2001-10-08,,,
587,Sgt. Slaughter,"Detroit, Michigan, USA",male,,196.0,138.0,1973-01-01,,,6.66,195.0
11696,Ikemen Jiro,"Tokyo, Japan",male,30.0,180.0,90.0,2011-12-30,,1,7.57,61.0
3140,Pat Kelly,"Kirkland, Ontario, Canada",male,,183.0,112.0,,1988-07-04,,,
13502,Matty Suzuki,"Kanagawa, Japan",male,,178.0,102.0,1959-01-01,1978-01-01,,,
259,Chet The Jett,"Buffalo, New York, USA",male,,185.0,111.0,2000-07-22,2010-01-01,,5.85,13.0
6671,Harley Saito,"Yaizu, Shizuoka, Japan",female,,166.0,67.0,1986-08-17,2012-12-29,,10.0,1.0
2257,UltraMantis Black,"Pennsylvania, USA",male,,183.0,91.0,2002-05-25,2023-06-16,,8.0,72.0
10,Perro Aguayo Jr.,"Mexico City, Distrito Federal, Mexiko",male,,174.0,88.0,1995-06-18,2015-03-21,,8.47,30.0
18055,Rampage Jackson,"Memphis, Tennessee, USA",male,,185.0,98.0,,,,,
4896,Sachie Abe,"Setagaya, Tokyo, Japan",female,,153.0,53.0,1996-04-14,2014-08-17,,,
16755,Nonoko,"Tokyo, Japan",female,,151.0,,2013-12-01,2018-02-03,,,
25875,Big T,Singapur,male,30.0,173.0,136.0,2014-01-01,,1139,6.0,1.0
3050,Dick Hutton,"Amarillo, Texas, USA",male,,178.0,107.0,1953-05-11,,,6.0,3.0
5004,Lars Anderson,"Bovey, Minnesota, USA",male,,185.0,115.0,1965-08-01,1986-01-01,,6.0,1.0
2581,Joyce Grable,"LaGrange, Georgia, USA",female,,,70.0,1972-08-12,1991-01-01,,7.83,6.0
22779,Moka Miyamoto,"Kanagawa, Japan",female,24.0,160.0,,2020-07-23,,1467,6.64,28.0
19637,Koju Takeda,"Takizawa, Iwate, Japan ",male,32.0,170.0,85.0,2017-01-16,,666,6.5,2.0
1246,Argentina Apollo,"Buenos Aires, Argentinien",male,,180.0,106.0,1960-01-01,1975-01-01,,9.0,1.0
4558,Motley Cruz,"Columbus, Ohio, USA",male,63.0,183.0,120.0,,,,2.5,2.0
19333,Pequeno Goliath,"Estado de Mexico, Mexiko",male,,,,,,,,
1487,Steve Armstrong,"Marietta, Georgia, USA",male,58.0,185.0,102.0,1983-01-01,,,4.93,27.0
1790,Tzuki,"Ciudad y Puerto de Veracruz, Veracruz, Mexiko",male,49.0,110.0,40.0,1994-01-01,,,7.35,17.0
16355,Rex Bacchus,"Sebastian, Florida, USA",male,,183.0,89.0,2015-04-25,2019-01-17,,,
21629,Faboo Andre,"Florida, USA",male,,,,2017-04-29,,,,
697,Wataru Inoue,"Tokyo, Japan",male,49.0,180.0,94.0,1999-10-10,2013-03-03,7,6.33,45.0
8235,DARK Sheik,"Alpharetta, Georgia, USA",female,38.0,173.0,73.0,2001-08-23,,,9.0,6.0
3104,Eddie Craven,"Austin, Texas, USA",male,,183.0,105.0,1998-01-01,,,4.0,1.0
2963,Trent Beretta,"Mt. Sinai, New York, USA",male,36.0,188.0,92.0,2003-01-01,,2287,7.29,310.0
2021,Luther Biggs,"Pontiac, Michigan, USA",male,56.0,,,,,,2.67,3.0
6437,Masakado,"Niimi, Okayama, Japan",male,40.0,182.0,105.0,2007-10-08,,,6.0,1.0
19145,Raeven Marie,"San Juan, Puerto Rico, USA",female,,,,,,,,
16,Cody Hawk,"Bellbrook, Ohio, USA",male,49.0,188.0,100.0,1998-08-25,,,,
2817,Vladimir Kozlov,Ukraine,male,,198.0,137.0,2006-04-07,2012-10-16,,4.41,371.0
26590,Seth Gargis,"Huntsville, Alabama, USA",male,,,,,,,,
18899,Takanori Ito,"Osaka, Japan",male,29.0,180.0,95.0,2016-09-18,,2965,7.3,10.0
1032,Bushwhacker Butch,"Wellington, New Zealand",male,,180.0,110.0,1966-01-01,2001-01-01,,4.42,109.0
21827,Nanami,"Yokohama, Kanagawa, Japan",female,16.0,168.0,58.0,2019-10-06,,746,5.0,1.0
23895,Paul Sayers,"Wainuiomata, Wellington, New Zealand",male,,182.0,100.0,,,,,
7040,Jake Omen,"Noblesville, Indiana, USA",male,36.0,185.0,98.0,2005-11-01,,,,
13749,Charlie Morgan,"Cambridge, Cambrigeshire, England, UK",female,31.0,167.0,57.0,2011-05-01,,,7.53,17.0
6809,Gabby Gilbert,"Philadelphia, Pennsylvania, USA",female,39.0,155.0,57.0,2001-01-01,,,,
20183,Aiden Aggro,"Waterville, Maine, USA",male,34.0,180.0,94.0,,,,,
10928,Evil Kip,"New York, USA",male,40.0,,,2008-08-02,,,7.5,4.0
23138,Exodus Prime,"Dallas, Texas, USA",male,33.0,,,2018-06-22,,,,
4197,Yoshihiro Momota,"Tokyo, Japan",male,,180.0,90.0,1979-01-01,1987-01-01,,,
13472,Brian Tannen,"Sacramento, California, USA",male,,188.0,124.0,2012-02-26,,,,
2421,El Terrible,"Monterrey, Nuevo Leon, Mexiko",male,47.0,185.0,105.0,1995-02-22,,78,7.32,19.0
19029,Theo Storm,"South Bend, Indiana, USA",male,,,,,,,,
3776,Tetsuya Naito,"Tokyo, Japan",male,41.0,180.0,102.0,2006-05-27,,7,9.46,646.0
7714,Shogun,Mexiko,male,,172.0,91.0,,,,,
392,Mohammed Yone,"Nagoya, Aichi, Japan",male,47.0,185.0,110.0,1995-08-18,,8,6.22,74.0
160,Dirty White Boy,"Knoxville, Tennessee, USA",male,,182.0,136.0,1980-01-01,2006-01-01,,4.05,38.0
9813,Police Man,Mexiko,male,,170.0,75.0,1990-01-01,,,5.0,1.0
21538,Mataro Aoki,Japan,male,32.0,171.0,70.0,2015-09-20,,1772,,
16905,Jimmy Konway,"Allentown, Pennsylvania, USA",male,34.0,188.0,93.0,,,,0.0,1.0
10846,La Venus,"Tulancingo, Hidalgo, Mexiko",female,,,,1979-01-01,,,,
6408,Floyd Mayweather,"Grand Rapids, Michigan, USA",male,,173.0,66.0,,,,,
26536,Mascara Dorada 2.0,"Distrito Federal, Mexiko",male,21.0,,,2021-01-01,,,8.0,2.0
18084,Holidead,"California, USA",female,,,,2013-01-01,,,7.7,10.0
